msisdn,Email,fName,name,lName,action
698578571,aaksh@rediffmail.com,Sunil Kumar,Kumar,Maniesh,update
698578572,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578573,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578574,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578575,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578576,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578577,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578578,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578579,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578580,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578581,aaksh@rediffmail.com,Rupesh,Kumar,Maniesh,update
698578582,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578583,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578584,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578585,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578586,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578587,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578588,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578589,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578590,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578591,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578592,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578593,aaksh@rediffmail.com,Rishi,Kumar,Maniesh,update
698578594,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578595,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578596,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578597,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578598,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578599,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578600,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578601,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578602,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578603,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578604,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578605,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
698578606,aaksh@rediffmail.com,Maman,Kumar,Maniesh,update
